Killed 0 pending application instances
DEBUG 2022-05-09 13:49:14,485 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\gdal\raster\source.py first seen with mtime 1631533786.5981514
DEBUG 2022-05-09 13:49:14,485 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\asyncio\locks.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,485 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\db\backends\__init__.py first seen with mtime 1631533786.535666
DEBUG 2022-05-09 13:49:14,486 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\locale.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,486 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\json\encoder.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,486 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\core\function_base.py first seen with mtime 1634321888.6727667
DEBUG 2022-05-09 13:49:14,486 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\core\numerictypes.py first seen with mtime 1634321888.6883762
DEBUG 2022-05-09 13:49:14,486 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\gdal\prototypes\raster.py first seen with mtime 1631533786.5981514
DEBUG 2022-05-09 13:49:14,486 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\lib\shape_base.py first seen with mtime 1634321889.011235
DEBUG 2022-05-09 13:49:14,486 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\postgres\forms\jsonb.py first seen with mtime 1631533787.1829865
DEBUG 2022-05-09 13:49:14,486 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\ma\__init__.py first seen with mtime 1634321889.0580986
DEBUG 2022-05-09 13:49:14,486 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\geos\prototypes\coordseq.py first seen with mtime 1631533786.6137726
DEBUG 2022-05-09 13:49:14,486 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\polynomial\legendre.py first seen with mtime 1634321889.0958505
DEBUG 2022-05-09 13:49:14,487 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\rest_framework\utils\humanize_datetime.py first seen with mtime 1631810655.711616
DEBUG 2022-05-09 13:49:14,487 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1631533783.5805686
DEBUG 2022-05-09 13:49:14,487 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1631533788.3699362
DEBUG 2022-05-09 13:49:14,487 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\dotenv\__init__.py first seen with mtime 1631546665.6066122
DEBUG 2022-05-09 13:49:14,487 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\core\shape_base.py first seen with mtime 1634321888.6948814
